"Estado","TipoDelito","SubtipoDelito","Modalidad","BienJuridicoAfectado","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre"
"Aguascalientes","Homicidio","Homicidio doloso","Con arma de fuego","La vida y la Integridad corporal",3,6,3,4,6,5,7,3,1,1,3,2
"Aguascalientes","Homicidio","Homicidio doloso","Con arma blanca","La vida y la Integridad corporal",0,1,2,0,2,1,1,1,1,0,1,0
"Aguascalientes","Homicidio","Homicidio doloso","Con otro elemento","La vida y la Integridad corporal",1,2,2,0,3,2,1,2,0,3,1,0
"Aguascalientes","Homicidio","Homicidio doloso","No especificado","La vida y la Integridad corporal",0,0,0,0,0,0,1,0,0,0,0,0
"Aguascalientes","Homicidio","Homicidio culposo","Con arma de fuego","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Homicidio","Homicidio culposo","Con arma blanca","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Homicidio","Homicidio culposo","En accidente de tránsito","La vida y la Integridad corporal",11,7,15,17,12,12,13,15,10,10,14,13
"Aguascalientes","Homicidio","Homicidio culposo","Con otro elemento","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Homicidio","Homicidio culposo","No especificado","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Lesiones","Lesiones dolosas","Con arma de fuego","La vida y la Integridad corporal",7,7,7,7,9,6,5,4,2,3,3,4
"Aguascalientes","Lesiones","Lesiones dolosas","Con arma blanca","La vida y la Integridad corporal",12,15,14,9,8,11,18,12,12,8,7,17
"Aguascalientes","Lesiones","Lesiones dolosas","Con otro elemento","La vida y la Integridad corporal",211,227,297,248,246,257,233,204,177,207,153,183
"Aguascalientes","Lesiones","Lesiones dolosas","No especificado","La vida y la Integridad corporal",43,47,48,45,22,46,58,69,91,67,57,62
"Aguascalientes","Lesiones","Lesiones culposas","Con arma de fuego","La vida y la Integridad corporal",0,1,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Lesiones","Lesiones culposas","Con arma blanca","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Lesiones","Lesiones culposas","En accidente de tránsito","La vida y la Integridad corporal",82,63,72,39,38,61,57,47,52,55,52,55
"Aguascalientes","Lesiones","Lesiones culposas","Con otro elemento","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Lesiones","Lesiones culposas","No especificado","La vida y la Integridad corporal",9,7,10,14,9,8,16,25,29,16,18,20
"Aguascalientes","Feminicidio","Feminicidio","Con arma de fuego","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,1,0
"Aguascalientes","Feminicidio","Feminicidio","Con arma blanca","La vida y la Integridad corporal",1,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Feminicidio","Feminicidio","Con otro elemento","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,1,0,0
"Aguascalientes","Feminicidio","Feminicidio","No especificado","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Aborto","Aborto","Aborto","La vida y la Integridad corporal",1,0,0,0,1,1,0,0,0,0,0,2
"Aguascalientes","Otros delitos que atentan contra la vida y la integridad corporal","Otros delitos que atentan contra la vida y la integridad corporal","Otros delitos que atentan contra la vida y la integridad corporal","La vida y la Integridad corporal",4,4,2,1,2,7,7,3,5,2,2,4
"Aguascalientes","Secuestro","Secuestro","Secuestro extorsivo","Libertad personal",2,0,0,0,0,0,0,1,0,0,0,0
"Aguascalientes","Secuestro","Secuestro","Secuestro con calidad de rehén","Libertad personal",0,0,0,0,0,0,0,0,0,0,1,0
"Aguascalientes","Secuestro","Secuestro","Secuestro para causar daño","Libertad personal",1,1,0,0,0,0,1,0,1,0,0,1
"Aguascalientes","Secuestro","Secuestro","Secuestro exprés","Libertad personal",1,2,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Secuestro","Secuestro","Otro tipo de secuestros","Libertad personal",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Tráfico de menores","Tráfico de menores","Tráfico de menores","Libertad personal",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Rapto","Rapto","Rapto","Libertad personal",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Otros delitos que atentan contra la libertad personal","Otros delitos que atentan contra la libertad personal","Otros delitos que atentan contra la libertad personal","Libertad personal",36,32,57,24,30,31,33,31,28,38,49,52
"Aguascalientes","Abuso sexual","Abuso sexual","Abuso sexual","La libertad y la seguridad sexual",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Acoso sexual","Acoso sexual","Acoso sexual","La libertad y la seguridad sexual",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Hostigamiento sexual","Hostigamiento sexual","Hostigamiento sexual","La libertad y la seguridad sexual",6,6,10,5,6,6,5,9,4,13,3,6
"Aguascalientes","Violación simple","Violación simple","Violación simple","La libertad y la seguridad sexual",17,20,24,12,11,22,21,16,16,20,10,17
"Aguascalientes","Violación equiparada","Violación equiparada","Violación equiparada","La libertad y la seguridad sexual",11,8,1,8,6,6,5,9,11,10,8,6
"Aguascalientes","Incesto","Incesto","Incesto","La libertad y la seguridad sexual",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Otros delitos que atentan contra la libertad y la seguridad sexual","Otros delitos que atentan contra la libertad y la seguridad sexual","Otros delitos que atentan contra la libertad y la seguridad sexual","La libertad y la seguridad sexual",29,45,46,22,17,32,39,45,34,40,31,25
"Aguascalientes","Robo","Robo a casa habitación","Con violencia","El patrimonio",5,2,8,5,6,7,4,5,8,6,7,4
"Aguascalientes","Robo","Robo a casa habitación","Sin violencia","El patrimonio",229,216,250,142,137,201,187,199,186,235,196,212
"Aguascalientes","Robo","Robo de vehículo automotor","Robo de coche de 4 ruedas Con violencia","El patrimonio",6,6,6,3,4,6,3,5,5,8,5,4
"Aguascalientes","Robo","Robo de vehículo automotor","Robo de coche de 4 ruedas Sin violencia","El patrimonio",120,110,132,83,79,73,74,83,74,70,73,74
"Aguascalientes","Robo","Robo de vehículo automotor","Robo de motocicleta Con violencia","El patrimonio",3,3,1,2,5,4,1,2,2,4,5,2
"Aguascalientes","Robo","Robo de vehículo automotor","Robo de motocicleta Sin violencia","El patrimonio",59,54,51,29,28,30,31,50,41,49,47,59
"Aguascalientes","Robo","Robo de vehículo automotor","Robo de embarcaciones pequeñas y grandes Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Robo","Robo de vehículo automotor","Robo de embarcaciones pequeñas y grandes Sin violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Robo","Robo de autopartes","Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Robo","Robo de autopartes","Sin violencia","El patrimonio",90,82,83,42,38,60,73,70,62,68,64,74
"Aguascalientes","Robo","Robo a transportista","Con violencia","El patrimonio",0,0,1,1,1,0,0,0,0,0,0,0
"Aguascalientes","Robo","Robo a transportista","Sin violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Robo","Robo a transeúnte en vía pública","Con violencia","El patrimonio",57,59,52,32,42,31,39,43,53,44,26,32
"Aguascalientes","Robo","Robo a transeúnte en vía pública","Sin violencia","El patrimonio",97,95,70,47,49,53,60,75,65,68,57,57
"Aguascalientes","Robo","Robo a transeúnte en espacio abierto al público","Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Robo","Robo a transeúnte en espacio abierto al público","Sin violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Robo","Robo en transporte público individual","Con violencia","El patrimonio",3,5,5,4,7,2,3,3,3,6,4,2
"Aguascalientes","Robo","Robo en transporte público individual","Sin violencia","El patrimonio",4,7,2,1,4,3,6,3,6,6,5,2
"Aguascalientes","Robo","Robo en transporte público colectivo","Con violencia","El patrimonio",0,1,1,0,0,0,1,1,0,0,0,1
"Aguascalientes","Robo","Robo en transporte público colectivo","Sin violencia","El patrimonio",2,1,1,0,0,3,0,0,1,3,0,2
"Aguascalientes","Robo","Robo en transporte individual","Con violencia","El patrimonio",1,0,2,1,4,3,1,3,0,2,3,0
"Aguascalientes","Robo","Robo en transporte individual","Sin violencia","El patrimonio",0,1,0,0,3,0,1,1,0,1,1,1
"Aguascalientes","Robo","Robo a institución bancaria","Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Robo","Robo a institución bancaria","Sin violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Robo","Robo a negocio","Con violencia","El patrimonio",29,24,18,11,15,8,17,12,13,32,15,13
"Aguascalientes","Robo","Robo a negocio","Sin violencia","El patrimonio",172,163,143,126,123,140,156,142,139,153,137,137
"Aguascalientes","Robo","Robo de ganado","Con violencia","El patrimonio",1,0,0,0,0,0,0,0,0,1,0,0
"Aguascalientes","Robo","Robo de ganado","Sin violencia","El patrimonio",21,14,20,6,10,10,19,19,16,20,13,17
"Aguascalientes","Robo","Robo de maquinaria","Robo de herramienta industrial o agrícola Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Robo","Robo de maquinaria","Robo de herramienta industrial o agrícola Sin violencia","El patrimonio",0,0,0,0,0,0,0,0,1,0,1,0
"Aguascalientes","Robo","Robo de maquinaria","Robo de tractores Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Robo","Robo de maquinaria","Robo de tractores Sin violencia","El patrimonio",0,0,0,1,0,1,0,0,0,0,0,0
"Aguascalientes","Robo","Robo de maquinaria","Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Robo","Robo de maquinaria","Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Robo","Otros robos","Con violencia","El patrimonio",0,2,0,0,1,4,1,3,5,2,1,1
"Aguascalientes","Robo","Otros robos","Sin violencia","El patrimonio",175,169,206,134,130,140,156,138,153,155,153,179
"Aguascalientes","Fraude","Fraude","Fraude","El patrimonio",139,134,133,43,78,131,141,160,168,178,155,147
"Aguascalientes","Abuso de confianza","Abuso de confianza","Abuso de confianza","El patrimonio",38,47,49,16,25,53,67,70,73,72,50,54
"Aguascalientes","Extorsión","Extorsión","Extorsión","El patrimonio",11,8,12,9,10,9,8,6,12,5,7,7
"Aguascalientes","Daño a la propiedad","Daño a la propiedad","Daño a la propiedad","El patrimonio",355,328,357,179,210,372,320,281,298,346,267,334
"Aguascalientes","Despojo","Despojo","Despojo","El patrimonio",28,26,23,19,19,25,37,32,29,26,20,31
"Aguascalientes","Otros delitos contra el patrimonio","Otros delitos contra el patrimonio","Otros delitos contra el patrimonio","El patrimonio",32,21,37,19,19,18,14,17,14,14,12,15
"Aguascalientes","Violencia familiar","Violencia familiar","Violencia familiar","La familia",165,172,223,144,150,218,199,207,163,199,164,149
"Aguascalientes","Violencia de género en todas sus modalidades distinta a la violencia familiar","Violencia de género en todas sus modalidades distinta a la violencia familiar","Violencia de género en todas sus modalidades distinta a la violencia familiar","La familia",0,0,2,0,1,0,0,0,2,1,0,0
"Aguascalientes","Incumplimiento de obligaciones de asistencia familiar","Incumplimiento de obligaciones de asistencia familiar","Incumplimiento de obligaciones de asistencia familiar","La familia",21,12,20,0,3,15,22,12,16,19,21,19
"Aguascalientes","Otros delitos contra la familia","Otros delitos contra la familia","Otros delitos contra la familia","La familia",3,4,6,2,4,4,1,2,4,3,1,1
"Aguascalientes","Corrupción de menores","Corrupción de menores","Corrupción de menores","La sociedad",6,12,3,2,4,1,7,4,9,5,7,4
"Aguascalientes","Trata de personas","Trata de personas","Trata de personas","La sociedad",0,0,1,0,0,1,0,0,0,0,0,0
"Aguascalientes","Otros delitos contra la sociedad","Otros delitos contra la sociedad","Otros delitos contra la sociedad","La sociedad",0,3,0,0,1,0,0,0,0,0,0,0
"Aguascalientes","Narcomenudeo","Narcomenudeo","Narcomenudeo","Otros bienes jurídicos afectados (del fuero común)",336,322,314,144,244,276,207,58,55,57,40,46
"Aguascalientes","Amenazas","Amenazas","Amenazas","Otros bienes jurídicos afectados (del fuero común)",295,295,332,198,229,290,292,239,243,246,211,209
"Aguascalientes","Allanamiento de morada","Allanamiento de morada","Allanamiento de morada","Otros bienes jurídicos afectados (del fuero común)",28,52,45,33,39,44,39,34,42,32,43,46
"Aguascalientes","Evasión de presos","Evasión de presos","Evasión de presos","Otros bienes jurídicos afectados (del fuero común)",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Falsedad","Falsedad","Falsedad","Otros bienes jurídicos afectados (del fuero común)",6,12,5,1,0,0,7,4,3,9,6,9
"Aguascalientes","Falsificación","Falsificación","Falsificación","Otros bienes jurídicos afectados (del fuero común)",83,85,65,52,62,62,47,65,75,77,77,67
"Aguascalientes","Contra el medio ambiente","Contra el medio ambiente","Contra el medio ambiente","Otros bienes jurídicos afectados (del fuero común)",0,2,2,3,3,5,4,6,4,4,4,6
"Aguascalientes","Delitos cometidos por servidores públicos","Delitos cometidos por servidores públicos","Delitos cometidos por servidores públicos","Otros bienes jurídicos afectados (del fuero común)",34,34,38,32,21,33,25,47,48,57,41,40
"Aguascalientes","Electorales","Electorales","Electorales","Otros bienes jurídicos afectados (del fuero común)",0,0,0,0,0,0,0,0,0,0,6,0
"Aguascalientes","Otros delitos del Fuero Común","Otros delitos del Fuero Común","Otros delitos del Fuero Común","Otros bienes jurídicos afectados (del fuero común)",112,99,100,64,69,101,133,133,170,140,114,114
"Baja California","Homicidio","Homicidio doloso","Con arma de fuego","La vida y la Integridad corporal",146,117,170,179,179,140,165,176,165,139,166,136
"Baja California","Homicidio","Homicidio doloso","Con arma blanca","La vida y la Integridad corporal",10,12,13,14,16,21,15,15,15,14,10,13
"Baja California","Homicidio","Homicidio doloso","Con otro elemento","La vida y la Integridad corporal",32,29,33,21,27,28,42,37,32,27,24,19
"Baja California","Homicidio","Homicidio doloso","No especificado","La vida y la Integridad corporal",5,12,9,6,18,8,22,22,16,26,25,61
"Baja California","Homicidio","Homicidio culposo","Con arma de fuego","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Homicidio","Homicidio culposo","Con arma blanca","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Homicidio","Homicidio culposo","En accidente de tránsito","La vida y la Integridad corporal",31,33,35,21,28,29,27,43,45,42,38,34
"Baja California","Homicidio","Homicidio culposo","Con otro elemento","La vida y la Integridad corporal",2,3,2,2,2,0,0,0,1,0,2,3
"Baja California","Homicidio","Homicidio culposo","No especificado","La vida y la Integridad corporal",0,0,0,0,0,0,9,2,0,0,0,4
"Baja California","Lesiones","Lesiones dolosas","Con arma de fuego","La vida y la Integridad corporal",22,32,24,23,28,18,25,19,27,23,21,25
"Baja California","Lesiones","Lesiones dolosas","Con arma blanca","La vida y la Integridad corporal",39,31,28,28,40,45,50,52,40,37,33,20
"Baja California","Lesiones","Lesiones dolosas","Con otro elemento","La vida y la Integridad corporal",66,48,74,34,38,45,45,84,68,49,56,57
"Baja California","Lesiones","Lesiones dolosas","No especificado","La vida y la Integridad corporal",334,356,368,268,308,392,411,405,380,376,327,263
"Baja California","Lesiones","Lesiones culposas","Con arma de fuego","La vida y la Integridad corporal",2,0,1,0,1,0,1,0,1,1,2,0
"Baja California","Lesiones","Lesiones culposas","Con arma blanca","La vida y la Integridad corporal",0,2,0,0,1,1,1,1,0,0,1,0
"Baja California","Lesiones","Lesiones culposas","En accidente de tránsito","La vida y la Integridad corporal",22,25,31,9,7,12,12,36,18,16,17,17
"Baja California","Lesiones","Lesiones culposas","Con otro elemento","La vida y la Integridad corporal",13,10,13,27,9,5,8,11,10,8,7,8
"Baja California","Lesiones","Lesiones culposas","No especificado","La vida y la Integridad corporal",130,140,120,37,48,90,97,78,101,119,106,92
"Baja California","Feminicidio","Feminicidio","Con arma de fuego","La vida y la Integridad corporal",0,0,0,0,2,3,1,1,1,0,1,0
"Baja California","Feminicidio","Feminicidio","Con arma blanca","La vida y la Integridad corporal",2,2,0,1,1,0,0,0,1,0,0,0
"Baja California","Feminicidio","Feminicidio","Con otro elemento","La vida y la Integridad corporal",0,4,0,1,1,2,2,1,1,0,0,1
"Baja California","Feminicidio","Feminicidio","No especificado","La vida y la Integridad corporal",0,0,1,0,0,0,0,0,0,1,0,0
"Baja California","Aborto","Aborto","Aborto","La vida y la Integridad corporal",3,4,6,0,3,3,4,5,2,3,2,4
"Baja California","Otros delitos que atentan contra la vida y la integridad corporal","Otros delitos que atentan contra la vida y la integridad corporal","Otros delitos que atentan contra la vida y la integridad corporal","La vida y la Integridad corporal",124,115,156,135,170,184,172,206,179,186,167,216
"Baja California","Secuestro","Secuestro","Secuestro extorsivo","Libertad personal",0,3,1,2,1,0,0,2,2,1,2,0
"Baja California","Secuestro","Secuestro","Secuestro con calidad de rehén","Libertad personal",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Secuestro","Secuestro","Secuestro para causar daño","Libertad personal",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Secuestro","Secuestro","Secuestro exprés","Libertad personal",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Secuestro","Secuestro","Otro tipo de secuestros","Libertad personal",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Tráfico de menores","Tráfico de menores","Tráfico de menores","Libertad personal",0,0,1,0,0,0,0,0,0,1,0,1
"Baja California","Rapto","Rapto","Rapto","Libertad personal",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Otros delitos que atentan contra la libertad personal","Otros delitos que atentan contra la libertad personal","Otros delitos que atentan contra la libertad personal","Libertad personal",44,67,65,42,45,39,51,64,45,62,42,41
"Baja California","Abuso sexual","Abuso sexual","Abuso sexual","La libertad y la seguridad sexual",134,155,136,52,79,98,107,132,108,112,78,77
"Baja California","Acoso sexual","Acoso sexual","Acoso sexual","La libertad y la seguridad sexual",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Hostigamiento sexual","Hostigamiento sexual","Hostigamiento sexual","La libertad y la seguridad sexual",10,36,37,7,8,14,20,11,23,17,16,10
"Baja California","Violación simple","Violación simple","Violación simple","La libertad y la seguridad sexual",50,61,49,34,37,41,46,59,45,75,35,37
"Baja California","Violación equiparada","Violación equiparada","Violación equiparada","La libertad y la seguridad sexual",34,30,34,24,13,18,28,26,25,33,18,13
"Baja California","Incesto","Incesto","Incesto","La libertad y la seguridad sexual",0,0,0,1,0,0,0,0,0,0,0,0
"Baja California","Otros delitos que atentan contra la libertad y la seguridad sexual","Otros delitos que atentan contra la libertad y la seguridad sexual","Otros delitos que atentan contra la libertad y la seguridad sexual","La libertad y la seguridad sexual",21,16,22,12,14,19,22,25,25,24,11,12
"Baja California","Robo","Robo a casa habitación","Con violencia","El patrimonio",28,25,32,17,24,21,24,24,14,31,14,16
"Baja California","Robo","Robo a casa habitación","Sin violencia","El patrimonio",417,351,361,214,195,258,315,261,255,247,249,217
"Baja California","Robo","Robo de vehículo automotor","Robo de coche de 4 ruedas Con violencia","El patrimonio",125,115,119,97,88,81,105,81,102,106,132,118
"Baja California","Robo","Robo de vehículo automotor","Robo de coche de 4 ruedas Sin violencia","El patrimonio",970,787,869,568,561,610,659,659,656,707,745,743
"Baja California","Robo","Robo de vehículo automotor","Robo de motocicleta Con violencia","El patrimonio",8,14,8,11,10,12,11,7,9,8,11,5
"Baja California","Robo","Robo de vehículo automotor","Robo de motocicleta Sin violencia","El patrimonio",42,47,46,28,42,29,32,26,26,47,42,37
"Baja California","Robo","Robo de vehículo automotor","Robo de embarcaciones pequeñas y grandes Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Robo","Robo de vehículo automotor","Robo de embarcaciones pequeñas y grandes Sin violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Robo","Robo de autopartes","Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Robo","Robo de autopartes","Sin violencia","El patrimonio",5,6,9,3,7,4,0,1,2,4,3,3
"Baja California","Robo","Robo a transportista","Con violencia","El patrimonio",2,2,4,3,0,3,5,1,3,0,4,5
"Baja California","Robo","Robo a transportista","Sin violencia","El patrimonio",1,0,0,0,0,0,0,0,0,3,1,0
"Baja California","Robo","Robo a transeúnte en vía pública","Con violencia","El patrimonio",239,256,256,153,164,168,175,195,225,237,185,211
"Baja California","Robo","Robo a transeúnte en vía pública","Sin violencia","El patrimonio",174,140,147,63,75,98,109,133,114,131,140,141
"Baja California","Robo","Robo a transeúnte en espacio abierto al público","Con violencia","El patrimonio",0,0,1,0,0,0,1,0,1,0,0,0
"Baja California","Robo","Robo a transeúnte en espacio abierto al público","Sin violencia","El patrimonio",0,0,0,0,1,0,0,0,0,0,0,0
"Baja California","Robo","Robo en transporte público individual","Con violencia","El patrimonio",3,0,0,0,1,0,0,0,0,0,0,0
"Baja California","Robo","Robo en transporte público individual","Sin violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Robo","Robo en transporte público colectivo","Con violencia","El patrimonio",1,3,2,0,1,0,1,0,0,0,0,0
"Baja California","Robo","Robo en transporte público colectivo","Sin violencia","El patrimonio",1,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Robo","Robo en transporte individual","Con violencia","El patrimonio",0,1,2,2,0,0,0,1,0,0,0,1
"Baja California","Robo","Robo en transporte individual","Sin violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Robo","Robo a institución bancaria","Con violencia","El patrimonio",4,1,0,0,0,0,0,0,0,0,0,0
"Baja California","Robo","Robo a institución bancaria","Sin violencia","El patrimonio",0,0,0,0,1,0,0,0,0,0,0,0
"Baja California","Robo","Robo a negocio","Con violencia","El patrimonio",358,326,399,233,244,177,186,242,202,175,202,248
"Baja California","Robo","Robo a negocio","Sin violencia","El patrimonio",99,67,113,85,108,91,124,95,61,87,50,84
"Baja California","Robo","Robo de ganado","Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Robo","Robo de ganado","Sin violencia","El patrimonio",4,8,2,3,5,5,12,5,1,1,2,5
"Baja California","Robo","Robo de maquinaria","Robo de herramienta industrial o agrícola Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Robo","Robo de maquinaria","Robo de herramienta industrial o agrícola Sin violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Robo","Robo de maquinaria","Robo de tractores Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Robo","Robo de maquinaria","Robo de tractores Sin violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Robo","Robo de maquinaria","Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Robo","Robo de maquinaria","Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Robo","Otros robos","Con violencia","El patrimonio",136,102,132,64,56,83,58,69,83,98,141,126
"Baja California","Robo","Otros robos","Sin violencia","El patrimonio",463,439,464,312,324,342,425,371,441,384,393,364
"Baja California","Fraude","Fraude","Fraude","El patrimonio",145,146,116,55,69,86,162,159,175,222,209,188
"Baja California","Abuso de confianza","Abuso de confianza","Abuso de confianza","El patrimonio",43,35,38,17,27,34,50,52,53,48,47,31
"Baja California","Extorsión","Extorsión","Extorsión","El patrimonio",16,14,17,5,3,10,12,8,10,14,11,7
"Baja California","Daño a la propiedad","Daño a la propiedad","Daño a la propiedad","El patrimonio",573,524,598,361,431,552,630,689,682,711,708,646
"Baja California","Despojo","Despojo","Despojo","El patrimonio",68,85,91,53,52,104,160,137,140,162,183,120
"Baja California","Otros delitos contra el patrimonio","Otros delitos contra el patrimonio","Otros delitos contra el patrimonio","El patrimonio",81,73,58,43,53,61,86,83,74,76,81,61
"Baja California","Violencia familiar","Violencia familiar","Violencia familiar","La familia",747,892,998,598,724,785,1064,1100,1109,1097,873,794
"Baja California","Violencia de género en todas sus modalidades distinta a la violencia familiar","Violencia de género en todas sus modalidades distinta a la violencia familiar","Violencia de género en todas sus modalidades distinta a la violencia familiar","La familia",0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Incumplimiento de obligaciones de asistencia familiar","Incumplimiento de obligaciones de asistencia familiar","Incumplimiento de obligaciones de asistencia familiar","La familia",57,59,67,10,10,37,56,65,86,99,98,58
"Baja California","Otros delitos contra la familia","Otros delitos contra la familia","Otros delitos contra la familia","La familia",40,26,54,22,37,41,49,43,46,64,60,44
"Baja California","Corrupción de menores","Corrupción de menores","Corrupción de menores","La sociedad",59,82,79,51,34,58,62,66,71,59,58,43
"Baja California","Trata de personas","Trata de personas","Trata de personas","La sociedad",0,4,0,12,7,6,5,6,5,1,2,6
"Baja California","Otros delitos contra la sociedad","Otros delitos contra la sociedad","Otros delitos contra la sociedad","La sociedad",5,2,6,3,4,5,3,6,5,4,3,2
"Baja California","Narcomenudeo","Narcomenudeo","Narcomenudeo","Otros bienes jurídicos afectados (del fuero común)",930,952,911,788,782,833,866,785,627,700,687,1055
"Baja California","Amenazas","Amenazas","Amenazas","Otros bienes jurídicos afectados (del fuero común)",306,357,410,230,227,302,348,416,436,410,368,289
"Baja California","Allanamiento de morada","Allanamiento de morada","Allanamiento de morada","Otros bienes jurídicos afectados (del fuero común)",203,213,210,172,185,164,218,204,173,211,142,155
"Baja California","Evasión de presos","Evasión de presos","Evasión de presos","Otros bienes jurídicos afectados (del fuero común)",0,1,0,0,1,0,0,2,1,2,0,1
"Baja California","Falsedad","Falsedad","Falsedad","Otros bienes jurídicos afectados (del fuero común)",9,16,3,3,1,4,7,10,6,13,9,9
"Baja California","Falsificación","Falsificación","Falsificación","Otros bienes jurídicos afectados (del fuero común)",26,27,30,12,7,14,40,48,39,45,32,21
"Baja California","Contra el medio ambiente","Contra el medio ambiente","Contra el medio ambiente","Otros bienes jurídicos afectados (del fuero común)",4,2,0,1,2,2,1,5,4,4,1,0
"Baja California","Delitos cometidos por servidores públicos","Delitos cometidos por servidores públicos","Delitos cometidos por servidores públicos","Otros bienes jurídicos afectados (del fuero común)",89,101,74,39,79,55,67,72,90,106,82,59
"Baja California","Electorales","Electorales","Electorales","Otros bienes jurídicos afectados (del fuero común)",0,0,0,0,0,0,0,0,0,0,0,1
"Baja California","Otros delitos del Fuero Común","Otros delitos del Fuero Común","Otros delitos del Fuero Común","Otros bienes jurídicos afectados (del fuero común)",627,669,707,407,481,409,577,582,598,553,568,454
"Baja California Sur","Homicidio","Homicidio doloso","Con arma de fuego","La vida y la Integridad corporal",5,0,2,0,2,4,2,4,2,1,1,4
"Baja California Sur","Homicidio","Homicidio doloso","Con arma blanca","La vida y la Integridad corporal",0,0,0,1,0,1,0,1,0,1,0,1
"Baja California Sur","Homicidio","Homicidio doloso","Con otro elemento","La vida y la Integridad corporal",0,1,0,1,4,0,1,0,0,1,0,1
"Baja California Sur","Homicidio","Homicidio doloso","No especificado","La vida y la Integridad corporal",1,1,0,1,1,0,3,3,1,2,4,4
