"Estado","TipoDelito","SubtipoDelito","Modalidad","BienJuridicoAfectado","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre"
"Tabasco","Violación simple","Violación simple","Violación simple","La libertad y la seguridad sexual",19,22,30,16,8,20,32,26,32,25,21,24
"Tabasco","Violación equiparada","Violación equiparada","Violación equiparada","La libertad y la seguridad sexual",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Incesto","Incesto","Incesto","La libertad y la seguridad sexual",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Otros delitos que atentan contra la libertad y la seguridad sexual","Otros delitos que atentan contra la libertad y la seguridad sexual","Otros delitos que atentan contra la libertad y la seguridad sexual","La libertad y la seguridad sexual",62,42,68,27,30,47,44,42,57,47,43,38
"Tabasco","Robo","Robo a casa habitación","Con violencia","El patrimonio",24,17,19,14,7,11,17,17,13,16,24,22
"Tabasco","Robo","Robo a casa habitación","Sin violencia","El patrimonio",188,142,142,92,91,135,132,156,139,160,133,125
"Tabasco","Robo","Robo de vehículo automotor","Robo de coche de 4 ruedas Con violencia","El patrimonio",58,40,52,38,16,41,41,48,32,49,28,32
"Tabasco","Robo","Robo de vehículo automotor","Robo de coche de 4 ruedas Sin violencia","El patrimonio",120,79,63,36,37,42,50,73,54,56,69,71
"Tabasco","Robo","Robo de vehículo automotor","Robo de motocicleta Con violencia","El patrimonio",30,30,31,18,9,39,36,40,32,29,38,38
"Tabasco","Robo","Robo de vehículo automotor","Robo de motocicleta Sin violencia","El patrimonio",139,96,53,32,41,55,73,75,59,55,57,87
"Tabasco","Robo","Robo de vehículo automotor","Robo de embarcaciones pequeñas y grandes Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Robo","Robo de vehículo automotor","Robo de embarcaciones pequeñas y grandes Sin violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Robo","Robo de autopartes","Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Robo","Robo de autopartes","Sin violencia","El patrimonio",0,0,3,0,0,1,2,2,1,1,3,1
"Tabasco","Robo","Robo a transportista","Con violencia","El patrimonio",0,0,1,2,0,0,1,0,0,0,0,0
"Tabasco","Robo","Robo a transportista","Sin violencia","El patrimonio",0,0,0,0,0,4,0,0,0,0,2,0
"Tabasco","Robo","Robo a transeúnte en vía pública","Con violencia","El patrimonio",475,442,401,155,145,251,319,347,366,416,325,129
"Tabasco","Robo","Robo a transeúnte en vía pública","Sin violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Robo","Robo a transeúnte en espacio abierto al público","Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Robo","Robo a transeúnte en espacio abierto al público","Sin violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Robo","Robo en transporte público individual","Con violencia","El patrimonio",0,0,0,0,0,1,0,0,0,0,0,0
"Tabasco","Robo","Robo en transporte público individual","Sin violencia","El patrimonio",1,2,1,0,0,1,2,0,0,0,0,0
"Tabasco","Robo","Robo en transporte público colectivo","Con violencia","El patrimonio",0,0,0,0,1,0,0,0,0,0,1,1
"Tabasco","Robo","Robo en transporte público colectivo","Sin violencia","El patrimonio",0,2,0,0,0,1,0,0,0,0,4,0
"Tabasco","Robo","Robo en transporte individual","Con violencia","El patrimonio",1,0,1,1,0,2,0,0,0,1,0,0
"Tabasco","Robo","Robo en transporte individual","Sin violencia","El patrimonio",0,2,2,0,0,3,0,2,1,0,0,1
"Tabasco","Robo","Robo a institución bancaria","Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Robo","Robo a institución bancaria","Sin violencia","El patrimonio",0,1,0,0,0,0,0,0,0,0,0,0
"Tabasco","Robo","Robo a negocio","Con violencia","El patrimonio",84,98,61,45,41,45,51,54,62,38,78,60
"Tabasco","Robo","Robo a negocio","Sin violencia","El patrimonio",75,79,80,45,41,56,70,70,50,64,51,55
"Tabasco","Robo","Robo de ganado","Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Robo","Robo de ganado","Sin violencia","El patrimonio",77,62,76,37,33,46,54,59,56,65,43,68
"Tabasco","Robo","Robo de maquinaria","Robo de herramienta industrial o agrícola Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Robo","Robo de maquinaria","Robo de herramienta industrial o agrícola Sin violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Robo","Robo de maquinaria","Robo de tractores Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Robo","Robo de maquinaria","Robo de tractores Sin violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Robo","Robo de maquinaria","Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Robo","Robo de maquinaria","Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Robo","Otros robos","Con violencia","El patrimonio",242,206,186,88,100,102,150,156,166,166,160,170
"Tabasco","Robo","Otros robos","Sin violencia","El patrimonio",71,57,87,45,30,56,42,34,49,54,75,256
"Tabasco","Fraude","Fraude","Fraude","El patrimonio",81,81,71,16,22,67,80,101,103,96,88,94
"Tabasco","Abuso de confianza","Abuso de confianza","Abuso de confianza","El patrimonio",49,64,49,10,16,46,55,57,80,52,45,60
"Tabasco","Extorsión","Extorsión","Extorsión","El patrimonio",11,8,9,7,5,11,9,7,12,9,6,11
"Tabasco","Daño a la propiedad","Daño a la propiedad","Daño a la propiedad","El patrimonio",211,176,199,92,100,178,227,228,192,231,171,162
"Tabasco","Despojo","Despojo","Despojo","El patrimonio",43,39,36,10,20,34,47,54,52,45,38,43
"Tabasco","Otros delitos contra el patrimonio","Otros delitos contra el patrimonio","Otros delitos contra el patrimonio","El patrimonio",16,12,14,5,2,9,12,20,15,11,17,9
"Tabasco","Violencia familiar","Violencia familiar","Violencia familiar","La familia",558,607,587,258,270,492,625,681,660,668,487,552
"Tabasco","Violencia de género en todas sus modalidades distinta a la violencia familiar","Violencia de género en todas sus modalidades distinta a la violencia familiar","Violencia de género en todas sus modalidades distinta a la violencia familiar","La familia",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Incumplimiento de obligaciones de asistencia familiar","Incumplimiento de obligaciones de asistencia familiar","Incumplimiento de obligaciones de asistencia familiar","La familia",101,84,93,1,10,56,67,97,110,89,72,75
"Tabasco","Otros delitos contra la familia","Otros delitos contra la familia","Otros delitos contra la familia","La familia",2,3,2,0,0,0,3,3,6,4,2,2
"Tabasco","Corrupción de menores","Corrupción de menores","Corrupción de menores","La sociedad",6,4,4,2,2,2,4,5,4,6,4,4
"Tabasco","Trata de personas","Trata de personas","Trata de personas","La sociedad",0,1,1,0,0,0,0,0,0,0,0,1
"Tabasco","Otros delitos contra la sociedad","Otros delitos contra la sociedad","Otros delitos contra la sociedad","La sociedad",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Narcomenudeo","Narcomenudeo","Narcomenudeo","Otros bienes jurídicos afectados (del fuero común)",11,5,9,4,1,7,9,6,7,13,6,9
"Tabasco","Amenazas","Amenazas","Amenazas","Otros bienes jurídicos afectados (del fuero común)",368,357,395,110,125,303,422,461,402,405,364,341
"Tabasco","Allanamiento de morada","Allanamiento de morada","Allanamiento de morada","Otros bienes jurídicos afectados (del fuero común)",30,41,46,22,16,43,36,39,51,39,36,35
"Tabasco","Evasión de presos","Evasión de presos","Evasión de presos","Otros bienes jurídicos afectados (del fuero común)",0,0,0,0,1,0,1,1,0,1,0,0
"Tabasco","Falsedad","Falsedad","Falsedad","Otros bienes jurídicos afectados (del fuero común)",3,4,1,1,0,0,2,1,3,4,6,6
"Tabasco","Falsificación","Falsificación","Falsificación","Otros bienes jurídicos afectados (del fuero común)",20,26,10,2,3,11,15,29,17,19,14,15
"Tabasco","Contra el medio ambiente","Contra el medio ambiente","Contra el medio ambiente","Otros bienes jurídicos afectados (del fuero común)",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Delitos cometidos por servidores públicos","Delitos cometidos por servidores públicos","Delitos cometidos por servidores públicos","Otros bienes jurídicos afectados (del fuero común)",17,22,24,14,29,21,26,33,24,20,20,16
